Model,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Prec_std,Rec_mean,Rec_std
XGBoost,0.5817921742340347,0.19825034349200335,0.3159877590110149,0.2970581319945721,0.4134551495016611,0.40477033530433676,0.3532668881506091,0.37063176709575724
Random Forest,0.5848006644518272,0.23329011445622994,0.2834440753045404,0.2987584970819954,0.40271317829457365,0.4335409495567998,0.27959579180509414,0.33266451069010683
KNN,0.5814322628276116,0.21387296628095737,0.17906976744186046,0.23144255827234395,0.3023255813953488,0.40067097140932023,0.16561461794019933,0.2553607354023923
SVM,0.5579918789221116,0.2160894815448302,0.13464881371858117,0.23077303840992594,0.24108527131782947,0.4038469539786654,0.13380398671096344,0.26780898293946065
