Model,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Prec_std,Rec_mean,Rec_std
XGBoost,0.6266813697088924,0.17074990585637245,0.25532663965634184,0.24250508496990106,0.3778329721414177,0.37802003490278807,0.2647933207809729,0.2869272967776876
Random Forest,0.626568584379378,0.1959453759354803,0.22802900603902623,0.23753281315185668,0.322614732568653,0.3652634878198321,0.2532373297790175,0.30023787358330845
KNN,0.651052669379948,0.21246099014503694,0.14016395750996807,0.16889627409338054,0.2852067183462532,0.3449577036887347,0.105628259003232,0.13153357056990717
SVM,0.6271282621472264,0.2143347347632928,0.12594730850544802,0.14743572809626998,0.24285714285714285,0.32213239096076485,0.11349961155022714,0.15114616381943083
