Model,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Prec_std,Rec_mean,Rec_std
XGBoost,0.5593853820598007,0.1846041173620411,0.5168713715225344,0.2001742244002442,0.556893687707641,0.22087484769161664,0.5462070874861571,0.19834142873424346
Random Forest,0.5566168327796235,0.16684638750356845,0.5073638248056852,0.1772532482202639,0.5360880398671095,0.20692786570595967,0.5459025470653377,0.16229094193532478
KNN,0.5047065337763013,0.2026192254906761,0.4646821524728502,0.20743815192477844,0.48776301218161683,0.23001965494028656,0.5019102990033222,0.21564738088336335
SVM,0.49889258028792915,0.17300885748278047,0.4585460405227847,0.18192962514659855,0.4885935769656699,0.20916004025221951,0.5015227021040973,0.17995904673612542
