Model,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Prec_std,Rec_mean,Rec_std
XGBoost,0.5432496442860472,0.12138984751929381,0.5246100576218481,0.12278202960867232,0.5535084756497816,0.13307474186508705,0.5539066771381912,0.11040808081814366
Random Forest,0.551505174819647,0.1418993383913672,0.5222346662862605,0.13791057453881836,0.5583945457627438,0.1521022461316317,0.5535293783084301,0.12295182922384465
SVM,0.51820751038621,0.1048964809792567,0.5022263456329564,0.104882483748358,0.5257263303409476,0.10322608324150949,0.5244644269369321,0.09856575893324314
KNN,0.5092514950058159,0.09706082487210936,0.49445166519192796,0.09581401231911951,0.5189855713204854,0.09845055200080668,0.5130907713227805,0.09072432683719973
