Model,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Prec_std,Rec_mean,Rec_std
KNN,0.4310723514211887,0.20072923311401575,0.3284896653227707,0.18844208891919464,0.35693367786391045,0.20726703187239284,0.3957225913621263,0.20894553260618728
XGBoost,0.42667958656330746,0.1564081694813498,0.32002999154161943,0.13899883081603662,0.34994309093146303,0.171111529649287,0.3910775809031623,0.16590743936466446
Random Forest,0.40426356589147283,0.14279437766994302,0.3057638851243502,0.13507330733812428,0.31728805217177314,0.15895640978900608,0.3942552602436323,0.16319889077212726
SVM,0.358656330749354,0.14890403682045045,0.2701007648682067,0.10603454253845342,0.3142180386366432,0.13280138141326148,0.3225344530577088,0.12776952450657678
