Model,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Prec_std,Rec_mean,Rec_std
XGBoost,0.37486157253599117,0.21141911969284585,0.24643792899606856,0.1557085136627748,0.2693936877076412,0.18959200491914133,0.2957364341085271,0.17509026518170254
KNN,0.3444075304540421,0.20764036544684383,0.2389680517587494,0.15788424328051945,0.2652177925433739,0.1835605867359884,0.26690660760428203,0.19813596684648727
SVM,0.32502768549280175,0.19410620635715087,0.23048303978536538,0.15364322469236846,0.25601698043558513,0.19075278555954142,0.2742709486895533,0.18263396802290804
Random Forest,0.38164451827242524,0.20949175365092296,0.2287164601118089,0.12062183883233096,0.26030823181985974,0.1787529272940285,0.2869139904023625,0.16194677073664948
