Model,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Prec_std,Rec_mean,Rec_std
XGBoost,0.6434108527131783,0.21680495094808983,0.5027300686689411,0.22324993372724475,0.5632936507936508,0.2494939822876684,0.5646040974529347,0.21111733912556574
Random Forest,0.6577519379844962,0.23331838125737864,0.45840827009647656,0.2049480967307455,0.4716039128829826,0.2434304734136177,0.5455564784053156,0.17286933046112943
SVM,0.5996124031007751,0.20426965392408464,0.4370657631142547,0.1575186083485991,0.48005721668512363,0.1812331282739601,0.5055417128091547,0.17074465294006458
KNN,0.6327519379844961,0.2226284708315887,0.4350718911531425,0.1701976013656384,0.4820874861572536,0.20514884688510304,0.49134828349944626,0.16027288287234628
