Model,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Prec_std,Rec_mean,Rec_std
Random Forest,0.6829457364341085,0.1731528384628842,0.6188761629767102,0.17274690687174887,0.7170542635658914,0.19321194253302257,0.6473698781838316,0.14905882951242622
XGBoost,0.648966408268734,0.14998447528979475,0.6012334678545348,0.1408666664315997,0.6565383905500184,0.15557216922161676,0.6272009966777408,0.13352690073545467
SVM,0.639405684754522,0.15639682973532726,0.5906320974207432,0.14458753900687632,0.6488187523071244,0.1611909596151718,0.614313399778516,0.13542893160527888
KNN,0.5847545219638243,0.19022967298996293,0.538638698283021,0.18751531212247596,0.5655315614617941,0.19895582421455207,0.5624307862679956,0.19282625949447071
