Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
SVM,1.7767205922105105,0.5205299351220302,2.0379343176950595,0.51616542960315,-3.3786266393642763,4.569508417241426
Random Forest,1.7439565096211755,0.534522481157816,1.985787948304299,0.5146007663354873,-3.0132102380630683,4.365311489196789
KNN,1.8044852329457235,0.47267750209294607,2.0988516173176883,0.47280951398197923,-3.357250871536858,4.34819811136912
XGBoost,1.7677151202483523,0.5842508420543961,2.0102267077202924,0.5638463027944088,-3.0711574206349384,4.617425243016693
