Model,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Prec_std,Rec_mean,Rec_std
KNN,0.5607696566998892,0.22270496762081485,0.4258777398312282,0.19079847748884018,0.4880675526024364,0.17156698884056146,0.4451965669988926,0.21417091930038254
XGBoost,0.5715669988925803,0.2395700735828881,0.4190909219978987,0.196075587340996,0.4802464008859357,0.21023802060851082,0.47264673311184935,0.21604604693856527
Random Forest,0.5341915836101883,0.256218130032798,0.40547043395880605,0.21294011128427193,0.4761074197120709,0.2135168539164979,0.4561738648947952,0.23038720588322664
SVM,0.4997231450719823,0.22252136260709404,0.37188050967120734,0.16362483650870496,0.4516057585825028,0.16923734025772186,0.40463732004429687,0.20828869788174953
