Model,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Prec_std,Rec_mean,Rec_std
Random Forest,0.5082942622173309,0.12823409733030405,0.48212668803709724,0.1286783877957515,0.5165775524445155,0.12617849627883213,0.5092879557995836,0.1207281807305243
SVM,0.5078541657381025,0.11531288020536205,0.47830710210431143,0.11672023352735053,0.5153825341325341,0.11916504616989783,0.4992032945521318,0.12393788624204433
XGBoost,0.5074311405508757,0.1477446297344574,0.4781117858546744,0.14451657881351052,0.5096356299079677,0.150172233437622,0.5042868414961438,0.13995309403719233
KNN,0.4726535330574499,0.13184286731886904,0.4558673715434147,0.13192576153825603,0.48521961090045534,0.1368701779735652,0.4808334000194465,0.13538765718813453
