Model,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Prec_std,Rec_mean,Rec_std
KNN,0.608388704318937,0.17172918638280849,0.33860127813616187,0.18427820192011968,0.31957825765965303,0.2051447295009446,0.3760612772240679,0.16679554600017504
Random Forest,0.6723421926910299,0.13975471135027556,0.33385425943565483,0.14368324423066758,0.3043327796234773,0.16702112509383635,0.3953672942045034,0.1201179801307931
XGBoost,0.6339977851605759,0.14623955837111247,0.32205468949655003,0.1443898561270425,0.29956626061277225,0.16722833591245628,0.37419712070874867,0.12811527530070016
SVM,0.6112956810631229,0.15765532985940917,0.30376445260166196,0.14329298342355737,0.277953119232189,0.15631608453446133,0.35520487264673317,0.13498134502850215
