Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
SVM,1.7801053431291904,0.4322137912121707,2.114521145792677,0.4335462841029873,-3.500825346136109,4.516208430581139
Random Forest,1.7279064569793976,0.4610615903656604,1.9788734875899432,0.44839905909597116,-2.885111078415832,4.034468138142449
KNN,1.8212991467901234,0.4297510919451012,2.1517102307289333,0.4132059756250964,-3.497041582766787,4.3475480396670125
XGBoost,1.7076743663364131,0.41363925956113834,1.9822011967106883,0.4256469248245821,-2.9045824192251746,3.957023766915515
