Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
SVM,2.012351854043454,0.6135947018058013,2.3638201892951147,0.6388396104074557,-1.3974086650641397,2.711158817367873
Random Forest,1.924247630233966,0.5098393927481927,2.1805127148453005,0.5198968227119869,-1.0835846341630422,2.2084985303796016
KNN,2.034042488856234,0.4875051281722298,2.373446039568125,0.48935592414976187,-1.4192645852305912,2.2523445002097486
XGBoost,1.9254792365028506,0.5094017552758181,2.2123747333094164,0.5133726464058936,-1.18107250911533,2.311930991039556
