Model,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Prec_std,Rec_mean,Rec_std
XGBoost,0.5034146387809386,0.1791479001549725,0.3110359956114236,0.10869389864739953,0.3466685344352294,0.12447202907739248,0.3646853437512661,0.13398236893676113
KNN,0.4651640385115756,0.16572887120929067,0.3110231112530568,0.10474158101719046,0.33478599206200343,0.11235952545680751,0.33649726272731123,0.11020579900727875
Random Forest,0.4875470767158794,0.19661433420673619,0.30702462441938805,0.11638891013490653,0.3439369272886114,0.12721576531861933,0.34737291134806086,0.11847612401950246
SVM,0.4495696066760685,0.17534978284850783,0.28891901775402534,0.10382122402490529,0.334210431229222,0.1420272126491004,0.3182159353278715,0.12596107260780443
