Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
SVM,1.7676269384890553,0.4790532314809166,2.0351259656334433,0.4621774135487149,-3.2472810536526544,4.386650712043208
Random Forest,1.727516481066374,0.4810070017771275,1.9780875484557285,0.4649472253964687,-2.904739024618476,4.137083075214894
KNN,1.8007988127967909,0.4233915233975311,2.098907467795134,0.39906976968019686,-3.3009722289509345,4.285139937161105
XGBoost,1.7173560674765758,0.45977645388025146,1.9756079629562273,0.45268480694009205,-2.8761184704169365,4.0122212459968996
