Model,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Prec_std,Rec_mean,Rec_std
Random Forest,0.531423034330011,0.16762462779185047,0.47440214823935756,0.18692827102043047,0.5144795127353267,0.22712184105801522,0.5206533776301219,0.17362072068513051
XGBoost,0.5124584717607973,0.18367034592866205,0.4708303969931877,0.19240037576568608,0.4929401993355481,0.21007167425906265,0.5030177187153931,0.1920898818380522
KNN,0.4954318936877076,0.2065711631773707,0.4605992199015455,0.20996850770160716,0.4731173864894795,0.21859790499890086,0.487015503875969,0.21539729745710637
SVM,0.47909745293466227,0.2001348063725367,0.4384690245155361,0.2093913813039491,0.460562015503876,0.2341284694302281,0.4779069767441861,0.19865658176515327
