Model,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Prec_std,Rec_mean,Rec_std
SVM,0.6222103080318214,0.1424175218590901,0.34893149704955523,0.1479481890890824,0.3572403863992531,0.18119206255101536,0.37576106106657864,0.13380683575894192
Random Forest,0.5644583986185253,0.157875940523828,0.3421889318218683,0.13953195976986757,0.3655544748197846,0.15668895944353778,0.3704067676593896,0.1525471190236717
XGBoost,0.659813307207828,0.13351586443652916,0.33447084119271325,0.135915173552531,0.32664987526253636,0.1623696666324981,0.3804124425590454,0.12644275793335705
KNN,0.5872821874567861,0.144375484867456,0.3218938437588653,0.13276520473616968,0.3261718312846904,0.15313637152643747,0.34443946565754596,0.1290300787113344
