Model,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Prec_std,Rec_mean,Rec_std
XGBoost,0.7194105598408664,0.22466941832236093,0.48044362779065336,0.1829406405341534,0.4941217535683562,0.2073416934094708,0.5375831238850018,0.1532714754372802
Random Forest,0.7271155448749073,0.22811665912144238,0.47517149320863,0.19494931935756168,0.4609928859674863,0.2200413028249411,0.5430941608861748,0.15307033238485793
SVM,0.6868921849898432,0.20544214649131182,0.4473089833657168,0.14056708825197053,0.4760830047091227,0.1677898170858687,0.49254403231397875,0.1199717324718084
KNN,0.6739188734895865,0.2010434225135831,0.43538059185773853,0.12211620902265127,0.4973400937690667,0.16321356750492566,0.47639680303233756,0.1036543641056946
