Model,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Prec_std,Rec_mean,Rec_std
XGBoost,0.6052754318025078,0.1549199085392698,0.3123215957521246,0.09411050451829885,0.33434601746936554,0.1548286324132951,0.3669430003980258,0.08966238115466899
Random Forest,0.5913264129780784,0.15265138261576433,0.3090198875707943,0.08238521365506093,0.31321932386475765,0.11947670475196207,0.35894871175305015,0.07918088869406079
SVM,0.5585143256618939,0.15200752143256407,0.3079324087051669,0.09091886168190096,0.3214395254428737,0.11815776171342017,0.34460796658383425,0.08748285454471409
KNN,0.5347409883255143,0.13112360880565258,0.29519186959556093,0.06452043769518191,0.3166184637827966,0.09399579766652875,0.3147374206887131,0.06183345737466492
