Model,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Prec_std,Rec_mean,Rec_std
KNN,0.5938538205980067,0.18109074281094475,0.3772909261281355,0.18180688952597945,0.3822997416020672,0.20036494597721824,0.4007567368032484,0.18023103564363843
Random Forest,0.6640365448504983,0.14193304802448878,0.36575181924019134,0.1679527604584121,0.35444352159468434,0.1976121638346274,0.41007751937984493,0.1508548898288338
XGBoost,0.6364894795127354,0.14888090950472285,0.3234094071303374,0.14539958785722934,0.2998892580287929,0.17006323028157663,0.37576596530084905,0.12515493966854033
SVM,0.5793189368770765,0.16417473887848288,0.31244246709362994,0.1548645582947282,0.29927556293835367,0.17104552336531656,0.34915097822074564,0.14977208269564726
