Model,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Prec_std,Rec_mean,Rec_std
GAT,0.5473421926910299,0.17993184951370023,0.49699738246249886,0.19773503000772905,0.5191445182724251,0.23342823326066944,0.549169435215947,0.1930999276541707
MLP,0.5300387596899224,0.16417088713616,0.4813139702674586,0.1849409360571941,0.49709302325581406,0.21444074346614342,0.5261351052048727,0.17041543270699577
GCN,0.5114894795127353,0.1671671972527007,0.46395813488836746,0.17437236375580595,0.5041666666666665,0.21224802507213852,0.5010797342192691,0.18271779242917888
