Model,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Prec_std,Rec_mean,Rec_std
MLP,0.5549557032115171,0.25357629366294515,0.4348610691633947,0.22902805780999055,0.5122923588039867,0.2276091664826338,0.4852851605758583,0.23587937346077228
GAT,0.5496954595791805,0.2716520389452194,0.42523826302896073,0.24852470634181642,0.4683554817275748,0.26174514195593945,0.4680924695459579,0.2534111835523631
GCN,0.5746124031007752,0.31018953887428513,0.4200649479719247,0.2731631767540214,0.4068106312292359,0.2894938019468568,0.5072674418604652,0.24853753931551562
