Model,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Prec_std,Rec_mean,Rec_std
MLP,0.5913621262458473,0.24953116047170765,0.48785181227041685,0.24989739137278139,0.5481589147286822,0.2500964460232833,0.5261904761904762,0.26691794244239125
GAT,0.5777962347729789,0.252493743434595,0.44829240526914943,0.2201450709533113,0.5043189368770764,0.23305175639902195,0.491860465116279,0.23617430812319687
GCN,0.5775193798449613,0.2981127919169605,0.4084970584970584,0.25687478072197206,0.4022425249169435,0.2713372679320501,0.4966085271317829,0.23989112074067676
