Model,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Prec_std,Rec_mean,Rec_std
MLP,0.5352990033222591,0.17904788480623446,0.48172176660548754,0.19285311618097017,0.5122231450719822,0.23049384319284752,0.5300664451827242,0.1821639535375093
GCN,0.5159191583610189,0.17956405972843392,0.4644686708640197,0.1866402833385946,0.5027408637873755,0.2206160945921546,0.49939091915836104,0.19773382104068762
GAT,0.506782945736434,0.1645650471025751,0.46344675995838785,0.18036236692180965,0.5083333333333333,0.22712272187419164,0.5124031007751938,0.18430625773615025
