Model,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Prec_std,Rec_mean,Rec_std
Random Forest,0.8840657094455024,0.12000495323607627,0.9117423505066528,0.09878186061698258,0.9090978584891545,0.1438679622716613,0.9317516745630964,0.08825071433390486
SVM,0.8822610075273158,0.11197498733212215,0.9110576043448457,0.09336529604832279,0.8975810182765673,0.14052587866001695,0.9425017796828246,0.07914916852437273
XGBoost,0.8798580035617181,0.11633004670903804,0.9095136409323596,0.09608308300760782,0.8991699123713397,0.14189361580123538,0.9379324778006272,0.08482103228755132
KNN,0.86537115291217,0.11386153455266268,0.8983301954566254,0.09638418353146096,0.8860637945575072,0.1420278139317491,0.929094275114898,0.08662578043251987
