Model,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Prec_std,Rec_mean,Rec_std
XGBoost,0.5421497760063624,0.14222835715062665,0.6891386244557158,0.11908038965446041,0.5609609913270613,0.1647534277905285,0.9599727649731249,0.0841837464726655
SVM,0.520618107277163,0.12740025487572185,0.6247855517981721,0.12826387040083212,0.5720754267332495,0.177992751262019,0.7725759812998071,0.19810223661747975
KNN,0.5199489814804482,0.11377262980611944,0.5841604510942884,0.12299343732558658,0.5650083283849213,0.17271525782024721,0.6481748350938702,0.15467029938985644
Random Forest,0.49189635810651916,0.10945469405261953,0.5794393659148187,0.11842208899633307,0.5581766992417507,0.16336864280173194,0.6885387693513142,0.2293423764129624
