subject_id,acc,f1,precision,recall
22,0.9112903225806451,0.9316770186335404,0.872093023255814,1.0
23,0.9274193548387096,0.9485714285714286,0.9021739130434783,1.0
24,0.991869918699187,0.9942196531791907,0.9885057471264368,1.0
25,0.9758064516129032,0.9830508474576272,0.9666666666666667,1.0
26,0.8306451612903226,0.8923076923076924,1.0,0.8055555555555556
27,0.976,0.9834254143646409,1.0,0.967391304347826
28,0.967479674796748,0.9772727272727273,0.9555555555555556,1.0
29,0.6774193548387096,0.7222222222222222,0.5977011494252874,0.9122807017543859
30,0.7723577235772358,0.8133333333333334,0.6853932584269663,1.0
31,0.9186991869918699,0.9425287356321839,0.9425287356321839,0.9425287356321839
32,0.9596774193548387,0.9707602339181286,0.9431818181818182,1.0
33,0.991869918699187,0.9942196531791907,0.9885057471264368,1.0
34,0.967741935483871,0.9761904761904762,0.9534883720930233,1.0
35,0.8617886178861789,0.9090909090909091,1.0,0.8333333333333334
36,0.96,0.9720670391061452,1.0,0.9456521739130435
37,0.9649122807017544,0.9764705882352941,0.9540229885057471,1.0
38,1.0,1.0,1.0,1.0
39,0.8548387096774194,0.9052631578947369,0.9772727272727273,0.8431372549019608
40,0.7016129032258065,0.8246445497630331,1.0,0.7016129032258065
41,0.896,0.9326424870466321,1.0,0.8737864077669902
42,0.6721311475409836,0.7368421052631579,0.6511627906976745,0.8484848484848485
43,0.7580645161290323,0.8192771084337349,0.7640449438202247,0.8831168831168831
44,0.9310344827586207,0.9591836734693877,1.0,0.9215686274509803
45,0.9274193548387096,0.9485714285714286,0.9540229885057471,0.9431818181818182
46,1.0,1.0,1.0,1.0
47,0.9186991869918699,0.9375,0.8823529411764706,1.0
48,1.0,1.0,1.0,1.0
49,0.9838709677419355,0.9886363636363636,0.9775280898876404,1.0
50,1.0,1.0,1.0,1.0
51,1.0,1.0,1.0,1.0
52,0.9836065573770492,0.9883720930232558,0.9770114942528736,1.0
53,0.608,0.631578947368421,0.46153846153846156,1.0
54,0.8780487804878049,0.9162011173184358,0.9534883720930233,0.8817204301075269
55,0.8709677419354839,0.9148936170212766,1.0,0.8431372549019608
56,0.6260162601626016,0.7088607594936709,0.6511627906976745,0.7777777777777778
57,0.7560975609756098,0.7887323943661971,0.6511627906976745,1.0
58,0.7075471698113207,0.7102803738317757,0.5507246376811594,1.0
59,0.7096774193548387,0.8,0.8372093023255814,0.7659574468085106
60,1.0,1.0,1.0,1.0
61,0.7967479674796748,0.8743718592964824,1.0,0.7767857142857143
62,1.0,1.0,1.0,1.0
63,0.7661290322580645,0.8361581920903954,0.8409090909090909,0.8314606741573034
64,0.984,0.9886363636363636,0.9775280898876404,1.0
