subject_id,acc,f1,precision,recall
22,0.8548387096774194,0.891566265060241,0.8131868131868132,0.9866666666666667
23,0.8709677419354839,0.9120879120879121,0.8383838383838383,1.0
24,0.9186991869918699,0.9438202247191011,0.9130434782608695,0.9767441860465116
25,0.8709677419354839,0.9090909090909091,0.898876404494382,0.9195402298850575
26,0.7580645161290323,0.8404255319148937,0.9875,0.7314814814814815
27,0.96,0.972972972972973,0.967741935483871,0.9782608695652174
28,0.926829268292683,0.9502762430939227,0.9052631578947369,1.0
29,0.6854838709677419,0.7346938775510204,0.6,0.9473684210526315
30,0.7398373983739838,0.7866666666666666,0.6629213483146067,0.9672131147540983
31,0.8943089430894309,0.9248554913294798,0.9302325581395349,0.9195402298850575
32,0.9354838709677419,0.9540229885057471,0.9120879120879121,1.0
33,0.943089430894309,0.96045197740113,0.9340659340659341,0.9883720930232558
34,0.9354838709677419,0.9534883720930233,0.9111111111111111,1.0
35,0.8536585365853658,0.9042553191489362,0.9883720930232558,0.8333333333333334
36,0.944,0.9608938547486033,0.9885057471264368,0.9347826086956522
37,0.9385964912280702,0.9590643274853801,0.9318181818181818,0.9879518072289156
38,0.984,0.9885057471264368,0.9885057471264368,0.9885057471264368
39,0.8548387096774194,0.9052631578947369,0.9772727272727273,0.8431372549019608
40,0.7016129032258065,0.8246445497630331,1.0,0.7016129032258065
41,0.88,0.9222797927461139,0.9888888888888889,0.8640776699029126
42,0.680327868852459,0.7450980392156863,0.6551724137931034,0.8636363636363636
43,0.7741935483870968,0.8333333333333334,0.7692307692307693,0.9090909090909091
44,0.9022988505747126,0.9415807560137457,0.9927536231884058,0.8954248366013072
45,0.9032258064516129,0.9318181818181818,0.9318181818181818,0.9318181818181818
46,0.991869918699187,0.9942196531791907,0.9885057471264368,1.0
47,0.8617886178861789,0.8930817610062893,0.8452380952380952,0.9466666666666667
48,0.95,0.9743589743589743,1.0,0.95
49,0.9435483870967742,0.9608938547486033,0.9347826086956522,0.9885057471264368
50,0.9919354838709677,0.9942196531791907,1.0,0.9885057471264368
51,0.9523809523809523,0.9647058823529412,0.9879518072289156,0.9425287356321839
52,0.9426229508196722,0.96045197740113,0.9239130434782609,1.0
53,0.576,0.6131386861313869,0.4421052631578947,1.0
54,0.8292682926829268,0.8786127167630058,0.95,0.8172043010752689
55,0.8790322580645161,0.9206349206349206,1.0,0.8529411764705882
56,0.6422764227642277,0.725,0.6590909090909091,0.8055555555555556
57,0.7154471544715447,0.7586206896551724,0.6179775280898876,0.9821428571428571
58,0.6792452830188679,0.6851851851851852,0.5285714285714286,0.9736842105263158
59,0.7096774193548387,0.797752808988764,0.8452380952380952,0.7553191489361702
60,0.9590163934426229,0.9717514124293786,0.945054945054945,1.0
61,0.7967479674796748,0.8743718592964824,1.0,0.7767857142857143
62,0.9739130434782609,0.9826589595375722,0.9770114942528736,0.9883720930232558
63,0.7741935483870968,0.8426966292134831,0.8426966292134831,0.8426966292134831
64,0.976,0.9830508474576272,0.9666666666666667,1.0
