Model,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Prec_std,Rec_mean,Rec_std
XGBoost,0.5067416124291252,0.15380639937964868,0.6534718785622281,0.14079478301534493,0.5061761719282547,0.155543101774921,0.9794157602953043,0.04286576244554193
KNN,0.517125875277083,0.04699128841286349,0.5032989939350696,0.09189410118503558,0.5264868275942388,0.1585433032230059,0.5144045149523696,0.0879075638569161
Random Forest,0.50511695483431,0.09948105487589443,0.49316496933821324,0.1657190285170128,0.5069636397218975,0.1729326637745326,0.5452077699663888,0.22612454444108318
SVM,0.5054570867868514,0.08109380196959198,0.47635869070235815,0.11746894334435713,0.5171999766011056,0.16539222280739896,0.4859777586124222,0.1540657389414578
