Model,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Prec_std,Rec_mean,Rec_std
XGBoost,0.6493540051679586,0.19200304014744934,0.6880114717324021,0.18876610610076233,0.6828349944629014,0.22071880920838646,0.7406423034330011,0.2313509908228428
SVM,0.6073458840900702,0.1861017421220976,0.6541951588463217,0.19228198593119694,0.6382982650424511,0.2224091751050604,0.7331672203765227,0.24769910716418073
Random Forest,0.646142488002953,0.18506946526397136,0.6431421291886408,0.23583168416615405,0.6873200442967885,0.24998218621880705,0.6698228128460686,0.28703860712679036
KNN,0.5514581026208933,0.1638195201701426,0.5706013624618276,0.18274547865224253,0.5920265780730897,0.19782466968748905,0.5988372093023255,0.25529945673057136
