subject_id,acc,f1,precision,recall
22,0.9032258064516129,0.9259259259259259,0.8620689655172413,1.0
23,0.9596774193548387,0.9707602339181286,0.9431818181818182,1.0
24,1.0,1.0,1.0,1.0
25,0.9919354838709677,0.9942857142857143,0.9886363636363636,1.0
26,0.8225806451612904,0.8865979381443299,1.0,0.7962962962962963
27,0.992,0.994535519125683,1.0,0.9891304347826086
28,0.967479674796748,0.9772727272727273,0.9555555555555556,1.0
29,0.6854838709677419,0.7272727272727273,0.6046511627906976,0.9122807017543859
30,0.8048780487804879,0.8356164383561644,0.7176470588235294,1.0
31,0.926829268292683,0.9479768786127167,0.9534883720930233,0.9425287356321839
32,0.9596774193548387,0.9707602339181286,0.9431818181818182,1.0
33,1.0,1.0,1.0,1.0
34,0.9354838709677419,0.9534883720930233,0.9111111111111111,1.0
35,0.8699186991869918,0.9148936170212766,1.0,0.8431372549019608
36,0.992,0.994535519125683,1.0,0.9891304347826086
37,0.9649122807017544,0.9764705882352941,0.9540229885057471,1.0
38,0.992,0.9942857142857143,0.9886363636363636,1.0
39,0.8709677419354839,0.9148936170212766,1.0,0.8431372549019608
40,0.7096774193548387,0.8301886792452831,1.0,0.7096774193548387
41,0.872,0.9157894736842105,1.0,0.8446601941747572
42,0.6557377049180327,0.7272727272727273,0.6363636363636364,0.8484848484848485
43,0.7419354838709677,0.8048780487804879,0.7586206896551724,0.8571428571428571
44,0.9310344827586207,0.9591836734693877,1.0,0.9215686274509803
45,0.9274193548387096,0.9485714285714286,0.9540229885057471,0.9431818181818182
46,1.0,1.0,1.0,1.0
47,0.9105691056910569,0.9316770186335404,0.872093023255814,1.0
48,1.0,1.0,1.0,1.0
49,0.9919354838709677,0.9942857142857143,0.9886363636363636,1.0
50,0.9838709677419355,0.9886363636363636,0.9775280898876404,1.0
51,0.9841269841269841,0.9885057471264368,0.9885057471264368,0.9885057471264368
52,0.9754098360655737,0.9826589595375722,0.9659090909090909,1.0
53,0.64,0.6511627906976745,0.4827586206896552,1.0
54,0.8780487804878049,0.9162011173184358,0.9534883720930233,0.8817204301075269
55,0.8709677419354839,0.9148936170212766,1.0,0.8431372549019608
56,0.6504065040650406,0.7329192546583851,0.6629213483146067,0.8194444444444444
57,0.7560975609756098,0.7887323943661971,0.6511627906976745,1.0
58,0.6981132075471698,0.7037037037037037,0.5428571428571428,1.0
59,0.7016129032258065,0.7955801104972375,0.8275862068965517,0.7659574468085106
60,1.0,1.0,1.0,1.0
61,0.7886178861788617,0.8686868686868687,1.0,0.7678571428571429
62,1.0,1.0,1.0,1.0
63,0.7903225806451613,0.8555555555555555,0.8461538461538461,0.8651685393258427
64,0.984,0.9886363636363636,0.9775280898876404,1.0
