subject_id,acc,f1,precision,recall
22,0.9032258064516129,0.9259259259259259,0.8620689655172413,1.0
23,0.9274193548387096,0.9485714285714286,0.9021739130434783,1.0
24,0.991869918699187,0.9942196531791907,0.9885057471264368,1.0
25,1.0,1.0,1.0,1.0
26,0.7983870967741935,0.8730964467005076,0.9662921348314607,0.7962962962962963
27,0.936,0.9574468085106383,0.9375,0.9782608695652174
28,0.959349593495935,0.9717514124293786,0.945054945054945,1.0
29,0.7096774193548387,0.7534246575342466,0.6179775280898876,0.9649122807017544
30,0.8048780487804879,0.8356164383561644,0.7176470588235294,1.0
31,0.9349593495934959,0.9540229885057471,0.9540229885057471,0.9540229885057471
32,0.9596774193548387,0.9707602339181286,0.9431818181818182,1.0
33,0.983739837398374,0.9885057471264368,0.9772727272727273,1.0
34,0.9354838709677419,0.9534883720930233,0.9111111111111111,1.0
35,0.8699186991869918,0.9148936170212766,1.0,0.8431372549019608
36,0.96,0.9720670391061452,1.0,0.9456521739130435
37,0.9210526315789473,0.9485714285714286,0.9021739130434783,1.0
38,0.984,0.9886363636363636,0.9775280898876404,1.0
39,0.8790322580645161,0.9206349206349206,1.0,0.8529411764705882
40,0.7096774193548387,0.8301886792452831,1.0,0.7096774193548387
41,0.888,0.9270833333333334,1.0,0.8640776699029126
42,0.6475409836065574,0.7189542483660131,0.632183908045977,0.8333333333333334
43,0.7419354838709677,0.8048780487804879,0.7586206896551724,0.8571428571428571
44,0.9080459770114943,0.9448275862068966,1.0,0.8954248366013072
45,0.9274193548387096,0.9485714285714286,0.9540229885057471,0.9431818181818182
46,1.0,1.0,1.0,1.0
47,0.9186991869918699,0.9375,0.8823529411764706,1.0
48,1.0,1.0,1.0,1.0
49,1.0,1.0,1.0,1.0
50,1.0,1.0,1.0,1.0
51,0.9920634920634921,0.9942857142857143,0.9886363636363636,1.0
52,0.9918032786885246,0.9941520467836257,0.9883720930232558,1.0
53,0.616,0.6363636363636364,0.4666666666666667,1.0
54,0.8780487804878049,0.9162011173184358,0.9534883720930233,0.8817204301075269
55,0.8709677419354839,0.9148936170212766,1.0,0.8431372549019608
56,0.6341463414634146,0.7169811320754716,0.6551724137931034,0.7916666666666666
57,0.7560975609756098,0.7887323943661971,0.6511627906976745,1.0
58,0.6792452830188679,0.6909090909090909,0.5277777777777778,1.0
59,0.7016129032258065,0.7955801104972375,0.8275862068965517,0.7659574468085106
60,0.9918032786885246,0.9942196531791907,0.9885057471264368,1.0
61,0.7886178861788617,0.8686868686868687,1.0,0.7678571428571429
62,0.991304347826087,0.9942196531791907,0.9885057471264368,1.0
63,0.7741935483870968,0.8426966292134831,0.8426966292134831,0.8426966292134831
64,0.968,0.9775280898876404,0.9560439560439561,1.0
