model,subject_id,acc,f1,precision,recall
SVM,22,0.5454545454545454,0.7058823529411765,0.5454545454545454,1.0
SVM,23,0.5454545454545454,0.7058823529411765,0.5454545454545454,1.0
SVM,24,0.6363636363636364,0.7777777777777778,0.6363636363636364,1.0
SVM,25,0.6363636363636364,0.7777777777777778,0.6363636363636364,1.0
SVM,26,0.8181818181818182,0.9,0.8181818181818182,1.0
SVM,27,0.7272727272727273,0.8421052631578947,0.7272727272727273,1.0
SVM,28,0.6363636363636364,0.7777777777777778,0.6363636363636364,1.0
SVM,29,0.5454545454545454,0.7058823529411765,0.5454545454545454,1.0
SVM,30,0.36363636363636365,0.5333333333333333,0.36363636363636365,1.0
SVM,31,0.6363636363636364,0.75,0.6666666666666666,0.8571428571428571
SVM,32,0.5454545454545454,0.7058823529411765,0.5454545454545454,1.0
SVM,33,0.6363636363636364,0.7777777777777778,0.6363636363636364,1.0
SVM,34,0.5454545454545454,0.7058823529411765,0.5454545454545454,1.0
SVM,35,0.8181818181818182,0.9,0.8181818181818182,1.0
SVM,36,0.7272727272727273,0.8421052631578947,0.7272727272727273,1.0
SVM,37,0.6,0.75,0.6,1.0
SVM,38,0.6363636363636364,0.7777777777777778,0.6363636363636364,1.0
SVM,39,0.8181818181818182,0.9,0.8181818181818182,1.0
SVM,40,1.0,1.0,1.0,1.0
SVM,41,0.8181818181818182,0.9,0.8181818181818182,1.0
SVM,42,0.6363636363636364,0.7777777777777778,0.6363636363636364,1.0
SVM,43,0.5454545454545454,0.7058823529411765,0.5454545454545454,1.0
SVM,44,0.8181818181818182,0.9,0.8181818181818182,1.0
SVM,45,0.6363636363636364,0.7777777777777778,0.6363636363636364,1.0
SVM,46,0.6363636363636364,0.7777777777777778,0.6363636363636364,1.0
SVM,47,0.5454545454545454,0.7058823529411765,0.5454545454545454,1.0
SVM,48,1.0,1.0,1.0,1.0
SVM,49,0.6363636363636364,0.7777777777777778,0.6363636363636364,1.0
SVM,50,0.6363636363636364,0.7777777777777778,0.6363636363636364,1.0
SVM,51,0.6363636363636364,0.7777777777777778,0.6363636363636364,1.0
SVM,52,0.6363636363636364,0.7777777777777778,0.6363636363636364,1.0
SVM,53,0.36363636363636365,0.5333333333333333,0.36363636363636365,1.0
SVM,54,0.6363636363636364,0.7777777777777778,0.6363636363636364,1.0
SVM,55,0.8181818181818182,0.9,0.8181818181818182,1.0
SVM,56,0.7272727272727273,0.8421052631578947,0.7272727272727273,1.0
SVM,57,0.5454545454545454,0.7058823529411765,0.5454545454545454,1.0
SVM,58,0.5454545454545454,0.7058823529411765,0.5454545454545454,1.0
SVM,59,0.6363636363636364,0.7777777777777778,0.6363636363636364,1.0
SVM,60,0.6363636363636364,0.7777777777777778,0.6363636363636364,1.0
SVM,61,0.9090909090909091,0.9523809523809523,0.9090909090909091,1.0
SVM,62,0.6363636363636364,0.7777777777777778,0.6363636363636364,1.0
SVM,63,0.6363636363636364,0.7777777777777778,0.6363636363636364,1.0
SVM,64,0.6363636363636364,0.7777777777777778,0.6363636363636364,1.0
Random Forest,22,0.5454545454545454,0.7058823529411765,0.5454545454545454,1.0
Random Forest,23,0.5454545454545454,0.7058823529411765,0.5454545454545454,1.0
Random Forest,24,0.6363636363636364,0.7777777777777778,0.6363636363636364,1.0
Random Forest,25,0.7272727272727273,0.8235294117647058,0.7,1.0
Random Forest,26,0.8181818181818182,0.9,0.8181818181818182,1.0
Random Forest,27,0.7272727272727273,0.8421052631578947,0.7272727272727273,1.0
Random Forest,28,0.5454545454545454,0.7058823529411765,0.6,0.8571428571428571
Random Forest,29,0.6363636363636364,0.75,0.6,1.0
Random Forest,30,0.2727272727272727,0.42857142857142855,0.3,0.75
Random Forest,31,0.5454545454545454,0.5454545454545454,0.75,0.42857142857142855
Random Forest,32,0.5454545454545454,0.7058823529411765,0.5454545454545454,1.0
Random Forest,33,0.6363636363636364,0.7777777777777778,0.6363636363636364,1.0
Random Forest,34,0.5454545454545454,0.7058823529411765,0.5454545454545454,1.0
Random Forest,35,0.6363636363636364,0.7777777777777778,0.7777777777777778,0.7777777777777778
Random Forest,36,0.36363636363636365,0.36363636363636365,0.6666666666666666,0.25
Random Forest,37,0.6,0.75,0.6,1.0
Random Forest,38,0.7272727272727273,0.8235294117647058,0.7,1.0
Random Forest,39,0.8181818181818182,0.9,0.8181818181818182,1.0
Random Forest,40,1.0,1.0,1.0,1.0
Random Forest,41,0.8181818181818182,0.9,0.8181818181818182,1.0
Random Forest,42,0.7272727272727273,0.8235294117647058,0.7,1.0
Random Forest,43,0.5454545454545454,0.7058823529411765,0.5454545454545454,1.0
Random Forest,44,0.8181818181818182,0.9,0.8181818181818182,1.0
