subject_id,acc,f1,precision,recall
22,0.8951612903225806,0.9202453987730062,0.8522727272727273,1.0
23,0.9354838709677419,0.9540229885057471,0.9120879120879121,1.0
24,0.983739837398374,0.9885057471264368,0.9772727272727273,1.0
25,1.0,1.0,1.0,1.0
26,0.8629032258064516,0.914572864321608,1.0,0.8425925925925926
27,0.968,0.9782608695652174,0.9782608695652174,0.9782608695652174
28,0.959349593495935,0.9717514124293786,0.945054945054945,1.0
29,0.7016129032258065,0.7482993197278912,0.6111111111111112,0.9649122807017544
30,0.7560975609756098,0.8026315789473685,0.6703296703296703,1.0
31,0.926829268292683,0.9479768786127167,0.9534883720930233,0.9425287356321839
32,0.9516129032258065,0.9651162790697675,0.9325842696629213,1.0
33,0.983739837398374,0.9885057471264368,0.9772727272727273,1.0
34,0.9596774193548387,0.9704142011834319,0.9425287356321839,1.0
35,0.8699186991869918,0.9148936170212766,1.0,0.8431372549019608
36,0.936,0.9545454545454546,1.0,0.9130434782608695
37,0.9298245614035088,0.9540229885057471,0.9120879120879121,1.0
38,0.984,0.9886363636363636,0.9775280898876404,1.0
39,0.9354838709677419,0.9591836734693877,1.0,0.9215686274509803
40,0.717741935483871,0.8356807511737089,1.0,0.717741935483871
41,0.92,0.9494949494949495,0.9894736842105263,0.912621359223301
42,0.680327868852459,0.7450980392156863,0.6551724137931034,0.8636363636363636
43,0.7338709677419355,0.7975460122699386,0.7558139534883721,0.8441558441558441
44,0.9425287356321839,0.9662162162162162,1.0,0.934640522875817
45,0.9274193548387096,0.9485714285714286,0.9540229885057471,0.9431818181818182
46,0.926829268292683,0.9502762430939227,0.9052631578947369,1.0
47,0.9186991869918699,0.9375,0.8823529411764706,1.0
48,1.0,1.0,1.0,1.0
49,0.9919354838709677,0.9942857142857143,0.9886363636363636,1.0
50,1.0,1.0,1.0,1.0
51,0.9682539682539683,0.9775280898876404,0.9560439560439561,1.0
52,0.9836065573770492,0.9883720930232558,0.9770114942528736,1.0
53,0.616,0.6363636363636364,0.4666666666666667,1.0
54,0.8292682926829268,0.8786127167630058,0.95,0.8172043010752689
55,0.8709677419354839,0.9148936170212766,1.0,0.8431372549019608
56,0.6504065040650406,0.7329192546583851,0.6629213483146067,0.8194444444444444
57,0.7479674796747967,0.7832167832167832,0.6436781609195402,1.0
58,0.7075471698113207,0.7102803738317757,0.5507246376811594,1.0
59,0.7096774193548387,0.8,0.8372093023255814,0.7659574468085106
60,0.9754098360655737,0.9828571428571429,0.9662921348314607,1.0
61,0.8130081300813008,0.8855721393034826,1.0,0.7946428571428571
62,1.0,1.0,1.0,1.0
63,0.7903225806451613,0.8555555555555555,0.8461538461538461,0.8651685393258427
64,0.976,0.9830508474576272,0.9666666666666667,1.0
