Model,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Prec_std,Rec_mean,Rec_std
XGBoost,0.560077519379845,0.16339711095499027,0.622729854125203,0.18710077850829285,0.5224898486526394,0.18390591881927168,0.831893687707641,0.24737142590183875
Random Forest,0.5213178294573644,0.17443535186131556,0.43456491828584864,0.24292026663641683,0.4648486526393503,0.29316204016411473,0.48012181616832783,0.30601421298699966
KNN,0.46091731266149877,0.18749714836460782,0.4319205342461157,0.2128970043123409,0.4316998892580288,0.23655927930680393,0.4896456256921372,0.25908269364331427
SVM,0.4486434108527133,0.18451324571860844,0.3669284204167925,0.23346928268556594,0.3843300110741971,0.2719708027227461,0.3964008859357696,0.2789553875358096
