Model,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Prec_std,Rec_mean,Rec_std
XGBoost,0.570642764644861,0.15688570126454923,0.7103359967672075,0.1313022967749807,0.5721437214293074,0.1567279463189761,0.9815834660718564,0.09845777965619308
SVM,0.5424165310648201,0.09969523960942128,0.6585148119926084,0.10697662539768552,0.5748810878335437,0.15253706896897226,0.8184326889535553,0.13788916100913096
KNN,0.5268576615293104,0.06258498797502884,0.606277276707116,0.09151331937248036,0.5806969180574453,0.15384886292220715,0.6664591919283833,0.08905075320083379
Random Forest,0.5076306342531829,0.08790957035496666,0.5718341255536641,0.14212296004878133,0.5712140406357399,0.15272666392459625,0.6518676930103467,0.2483102968843355
